Student_ID,Gender,Age,Attendance,Study_Hours,Previous_Score,Assignment_Score,Midterm_Score,Final_Score
1001,Male,20,60,1.5,45,51,48,53
1002,Female,19,99,7,98,99,98,99
1003,Male,19,69,1.9,53,58,53,61
1004,Male,20,69,1.5,45,50,48,52
1005,Male,20,98,4.6,84,91,90,90
1006,Female,18,99,6.1,98,99,98,99
1007,Male,21,90,5.6,89,93,94,99
1008,Male,20,79,4.8,78,83,81,85
1009,Male,21,85,4.7,84,87,87,93
1010,Female,20,91,4.9,80,83,84,87
1011,Male,20,93,4.4,76,82,77,82
1012,Male,19,82,4.7,75,77,78,82
1013,Male,21,79,3.3,71,75,73,78
1014,Male,21,80,4.4,67,70,67,75
1015,Female,18,68,2.4,61,67,65,71
1016,Male,18,88,3.2,70,79,72,78
1017,Female,19,60,1.5,50,52,53,59
1018,Female,20,80,3.6,72,73,73,77
1019,Female,21,80,3.3,66,71,72,72
1020,Male,18,69,2.9,56,61,61,62
1021,Female,19,81,4.8,75,80,80,83
1022,Male,19,92,6.1,88,92,90,94
1023,Female,21,88,4.5,81,86,81,89
1024,Female,20,71,1.8,49,55,56,54
1025,Female,20,60,2.2,57,64,60,64
1026,Female,19,97,6,86,87,88,94
1027,Female,19,63,2,69,73,73,72
1028,Female,18,76,4.2,66,71,71,77
1029,Female,18,83,5.3,77,80,80,83
1030,Female,21,73,3.8,59,67,65,62
1031,Male,20,73,3.9,75,79,80,82
1032,Male,21,69,2.7,56,61,57,63
1033,Female,21,84,4.6,69,75,71,76
1034,Female,19,76,4,66,70,71,75
1035,Female,20,65,1.5,45,50,48,53
1036,Male,21,81,3.4,76,80,79,84
1037,Female,20,82,4.4,76,83,76,84
1038,Male,18,86,3.6,73,77,75,80
1039,Male,19,79,4.1,63,66,65,74
1040,Male,18,96,6,92,99,94,96
1041,Male,21,90,4.3,75,79,77,82
1042,Male,20,75,3.7,62,66,63,69
1043,Female,18,85,4.3,70,75,78,79
1044,Female,20,79,5.5,75,82,82,80
1045,Female,20,76,3.5,73,83,74,77
1046,Female,19,83,3.6,70,77,76,77
1047,Female,18,80,2.6,65,72,67,73
1048,Male,20,75,3.6,52,56,55,62
1049,Female,19,64,2.7,50,53,53,54
1050,Female,20,97,6.5,90,95,92,99
1051,Male,19,61,3.1,55,60,60,67
1052,Female,21,76,2.4,61,64,64,67
1053,Male,19,77,4.1,66,71,68,70
1054,Female,19,87,6.1,76,82,76,82
1055,Male,21,75,4.1,68,74,69,75
1056,Female,19,94,6.7,90,96,90,98
1057,Female,18,71,2.1,71,77,74,77
